#  Escherichia_coli
"mass.reference_peaks." "intensity.reference_peaks."
2082.66862404254 0.923006054224796
2104.05340146744 0.934193208739142
2547.13114328823 0.940379047117663
2689.67288786268 0.994735456699131
2834.15289336953 0.943801000263227
2997.74777286843 0.927744143195578
3127.53227317786 0.992234798631219
3157.90729776655 0.991445117136088
3184.43804600308 0.914451171360884
3205.70016642062 0.953935246117399
3579.77436180732 0.978415372466439
3637.88239461959 0.986312187417742
3936.85988592055 0.981310871281916
4186.09046065832 0.91102921821532
4366.29494650014 0.998420637009739
4439.77172908688 0.925375098710187
4498.59577069062 0.98999736772835
4614.88068324226 0.990392208475915
4776.52428751291 0.965648854961832
5071.23684834511 0.911292445380363
5098.41995902057 0.962884969728876
5152.05565408894 0.98315346143722
5383.19841994655 0.996578046854435
5727.46468412445 0.942221637272967
6257.55683998467 0.991971571466175
6318.07477020746 0.99078704922348
6413.61011924919 0.991181889971045
7160.68293611633 0.988549618320611
7276.2953537348 0.984732824427481
7335.80692388935 0.907475651487234
7873.59328900472 0.983943142932351
8120.68162007819 0.904843379836799
8878.04159218501 0.96933403527244
8995.64373432157 0.989076072650698
9228.45727139528 0.994209002369045
10140.1853566633 0.966306922874441
10301.7186518711 0.991313503553567
11451.8325575492 0.934719663069229
